TYPE 	 NAME 	 CODE 	OPEN_TIME	CLOSE_TIME	 POWER 	 WATER 	 COST 	PRICE	 RED 	 GREEN 	 BLUE 	 WIDTH 	 HEIGHT 	 WEALTH 	CAP_SIZE	 IF(UTILITY) CAPACITY 	 UTIL 	 IF(NEED) DEFAMOUNT 	 SERVICE_TIME 	 SERVICED 	 UNITS_SERVED 	 IF(ENTERTAINMENT) SERVICE_TIME 	 IF(SERVICE) RADIUS 	 SERVICE
UTILITY 	 POWER PLANT 	 PP 	0	2359	0	20	500	0	50	0	0	3	3	7	0	600	 POWER							
UTILITY 	 NUCLEAR POWER PLANT 	 NPP 	0	2359	0	150	2000	0	50	155	80	6	6	7	0	4000	 POWER							
UTILITY 	 WATER PLANT 	 WP 	0	2359	50	0	500	0	0	0	50	3	3	7	0	600	 WATER							
NEED 	 HOTDOG STAND 	 HTDG 	730	1800	10	20	40	5	60	30	120	1	1	1	10	250	5	 FOOD 	6					
NEED 	 DONUT STORE 	 DS 	730	2100	30	30	60	7	200	30	120	2	1	1	20	300	8	 FOOD 	12					
NEED 	 CAFE 	 CAF 	800	2100	40	40	100	15	150	65	120	2	2	2	20	450	10	 FOOD 	25					
NEED 	 RESTAURANT 	 RESTO 	1000	2000	50	50	120	20	65	155	65	3	2	2	30	650	15	 FOOD 	30					
NEED 	 LUXURY RESTAURANT 	 LUX RESTO 	1000	2000	80	60	150	25	200	155	75	5	4	4	30	1000	15	 FOOD 	40					
NEED 	 TIANGGE 	 TNGE 	800	2100	20	30	40	5	130	72	66	2	2	1	50	450	40	 NONFOOD 	10					
NEED 	 DEPARTMENT STORE 	 DEPS 	1000	2000	70	30	150	15	189	77	120	2	2	2	70	650	15	 NONFOOD 	22					
NEED 	 BOUTIQUE 	 BTQ 	1000	2000	50	10	250	25	35	72	230	2	2	4	15	850	60	 NONFOOD 	35					
NEED 	 MALL 	 MALL 	1000	2100	250	250	1000	15	150	92	31	5	4	7	500	2000	25	 NONFOOD 	20					
ENTERTAINMENT 	PUPPET SHOW	PUP SHOW	800	1800	80	30	100	20	140	50	160	3	2	1	500	45								
ENTERTAINMENT 	CLUB	CLUB	1500	2200	120	40	200	50	120	180	75	3	4	2	100	60								
ENTERTAINMENT 	 MOVIE THEATER 	 M THTR 	1000	2200	100	40	350	70	92	77	182	3	4	3	100	75								
ENTERTAINMENT 	 AMPHITHEATER 	 AMPH THTR 	1500	2200	120	30	600	120	200	40	120	3	5	4	150	75								
ENTERTAINMENT 	 SPORTS CENTER 	 SPORTS CENTER 	1000	2000	200	100	1000	70	140	200	88	6	8	7	500	60								
SERVICE 	SMALL PARK	SMALL PARK	0	2359	20	20	80	0	0	180	40	4	4	7	20	8	ENVIRONMENT	0						
SERVICE 	MEDIUM PARK	MEDIUM PARK	0	2359	50	50	160	0	0	170	60	5	7	7	50	18	ENVIRONMENT	0						
SERVICE 	CENTRAL PARK	CENTRAL PARK	0	2359	80	120	400	0	0	160	50	9	12	7	200	60	ENVIRONMENT	0						
SERVICE 	 POLICE STATION 	 PSTN 	0	2359	60	30	150	0	0	0	200	3	4	7	0	15	 POLICE	0						
SERVICE 	 FIRE STATION 	 FSTN 	0	2359	50	100	150	0	200	0	0	4	2	7	0	15	 FIREHOUSE	0						
SERVICE 	HOSPITAL	HOSP	0	2359	120	120	800	150	180	20	20	6	6	6	2	0	HEALTH	50						
SERVICE 	 CLINIC 	 CLNC 	0	2359	60	80	200	70	150	20	100	2	2	7	4	0	 HEALTH	150						
SERVICE 	 SCHOOL 	 SCHL 	730	1600	80	80	300	50	20	150	50	3	4	7	250	0	 EDUCATION	120						
SERVICE 	 PRIVATE UNIVERSITY 	 PRIV UNIVERSITY 	730	2100	150	150	1000	200	20	120	180	7	7	4	600	0	 EDUCATION	120						
SERVICE 	PUBLIC UNIVERSITY 	 PUB UNIVERSITY 	730	2100	150	150	2000	30	180	120	20	7	7	7	600	0	EDUCATION	120						
